かゆい,かゆい
通,かよう
空,から
辛,からい
ガラス,がらす
体,からだ
借,かりる
軽,かるい
彼,かれ
枯,かれる
川,かわ
可愛,かわいい
可哀相,かわいそう
乾,かわかす
かわく,かわく
代,かわり
かわる,かわる
考,かんがえ
考,かんがえる
関係,かんけい
歓迎,かんげい
感,かんじ
感謝,かんしゃ
勘定,かんじょう
感心,かんしん
完成,かんせい
間接,かんせつ
完全,かんぜん
感想,かんそう
簡単,かんたん
罐詰,かんづめ
頑張,がんばる
看板,かんばん
木,き
黄色,きいろ
黄色,きいろい
消,きえる
記憶,きおく
機会,きかい
期間,きかん
聞,きく
危険,きけん
機嫌,きげん
気候,きこう
聞,きこえる
帰国,きこく
岸,きし
汽車,きしゃ
技術,ぎじゅつ
傷,きず
季節,きせつ
着,きせる
基礎,きそ
規則,きそく
北,きた
汚,きたない
きちん と,きちんと
切手,きって
きっ と,きっと
切符,きっぷ
記念,きねん
昨日,きのう
気毒,きのどく
厳,きびしい
気分,きぶん
希望,きぼう
決,きまる
君,きみ
義務,ぎむ
決,きめる
気持,きもち
着物,きもの
疑問,ぎもん
客,きゃく
逆,ぎゃく
急行,きゅうこう
急,きゅうに
牛肉,ぎゅうにく
牛乳,ぎゅうにゅう
給料,きゅうりょう
今日,きょう
教育,きょういく
教会,きょうかい
教科書,きょうかしょ
教師,きょうし
教室,きょうしつ
競争,きょうそう
兄弟,きょうだい
興味,きょうみ
教養,きょうよう
協力,きょうりょく
許可,きょか
去年,きょねん
距離,きょり
嫌,きらい
嫌,きらう
霧,きり
切,きる
布,きれ
綺麗,きれい
切,きれる
キロ,きろ
記録,きろく
金,きん
銀,ぎん
銀行,ぎんこう
禁止,きんし
近所,きんじょ
金属,きんぞく
筋肉,きんにく
具合,ぐあい
空気,くうき
茎,くき
草,くさ
臭,くさい
腐,くさる
苦心,くしん
薬,くすり
崩,くずれる
癖,くせ
下,くださる
果物,くだもの
下,くだり
下,くだる
口,くち
唇,くちびる
靴,くつ
靴下,くつした
国,くに
配,くばる
首,くび
工夫,くふう
区別,くべつ
組,くみ
雲,くも
曇,くもり
曇,くもる
悔,くやしい
暗,くらい
暮,くらす
比,くらべる
グラム,ぐらむ
繰返,くりかえす
来,くる
苦,くるしい
苦,くるしむ
車,くるま
くれる,くれる
黒,くろ
黒,くろい
苦労,くろう
加,くわえる
詳,くわしい
毛,け
下,げ
計画,けいかく
警官,けいかん
景気,けいき
経験,けいけん
傾向,けいこう
経済,けいざい
警察,けいさつ
計算,けいさん
形式,けいしき
芸術,げいじゅつ
怪我,けが
劇,げき
今朝,けさ
景色,けしき
消,けしごむ
下宿,げしゅく
化粧,けしょう
消,けす
削,けずる
下駄,げた
血液,けつえき
結果,けっか
結局,けっきょく
結構,けっこう
結婚,けっこん
決,けっして
決心,けっしん
欠席,けっせき
決定,けってい
欠点,けってん
煙,けむり
下痢,げり
蹴,ける
けれども,けれども
県,けん
原因,げんいん
喧嘩,けんか
玄関,げんかん
元気,げんき
研究,けんきゅう
現金,げんきん
言語,げんご
健康,けんこう
検査,けんさ
現在,げんざい
建設,けんせつ
原則,げんそく
現代,げんだい
建築,けんちく
見物,けんぶつ
権利,けんり
子,こ
五,ご
濃,こい
恋人,こいびと
こう,こう
公園,こうえん
効果,こうか
後悔,こうかい
郊外,こうがい
講義,こうぎ
工業,こうぎょう
航空便,こうくうびん
合計,ごうけい
高校,こうこう
広告,こうこく
交際,こうさい
工事,こうじ
交通,こうつう
肯定,こうてい
行動,こうどう
交番,こうばん
幸福,こうふく
公平,こうへい
声,こえ
越,こえる
コーヒー,こーひー
氷,こおり
凍,こおる
誤解,ごかい
呼吸,こきゅう
国語,こくご
国際,こくさい
国籍,こくせき
国鉄,こくてつ
黒板,こくばん
国民,こくみん
ここ,ここ
九日,ここのか
九,ここのつ
心,こころ
ございます,ございます
腰,こし
腰掛,こしかける
故障,こしょう
こする,こする
午前,ごぜん
答,こたえ
答,こたえる
御馳走,ごちそう
小遣,こづかい
コップ,こっぷ
事,こと
今年,ことし
言葉,ことば
子供,こども
断,ことわる
この,この
このごろ,このごろ
御飯,ごはん
細,こまかいな
困,こまる
ごみ,ごみ
こむ,こむ
ゴム,ごむ
米,こめ
御免,ごめん
御覧,ごらん
これ,これ
これから,これから
頃,ころ
殺,ころす
転,ころぶ
怖,こわい
壊,こわす
壊,こわれる
今月,こんげつ
今週,こんしゅう
今度,こんど
こんな,こんな
困難,こんなん
今日,こんにちは
今晩,こんばん
今晩,こんばんは
今夜,こんや
混乱,こんらん
さあ,さあ
最近,さいきん
最後,さいご
財産,ざいさん
最初,さいしょ
催促,さいそく
最中,さいちゅう
才能,さいのう
裁判,さいばん
財布,さいふ
材料,ざいりょう
坂,さか
境,さかい
さがす,さがす
魚,さかな
下,さがる
盛,さかん
先,さき
作業,さぎょう
咲,さく
作者,さくしゃ
昨年,さくねん
作品,さくひん
作文,さくぶん
桜,さくら
酒,さけ
叫,さけぶ
避,さける
下,さげる
匙,さじ
差上,さしあげる
さす,さす
誘,さそう
冊,さつ
作家,さっか
さっき,さっき
雑誌,ざっし
早速,さっそく
砂糖,さとう
寂,さびしい
寒,さむい
覚,さめる
皿,さら
再来年,さらいねん
猿,さる
騒,さわぐ
触,さわる
三,さん
参加,さんか
三角,さんかく
産業,さんぎょう
参考,さんこう
賛成,さんせい
残念,ざんねん
散歩,さんぽ
四,し
字,じ
試合,しあい
幸,しあわせ
塩,しお
四角,しかく
四角,しかくいな
しかし,しかし
仕方,しかた
しかも,しかも
叱,しかる
時間,じかん
式,しき
敷,しく
刺激,しげき
茂,しげる
試験,しけん
事件,じけん
事故,じこ
仕事,しごと
事実,じじつ
支出,ししゅつ
辞書,じしょ
事情,じじょう
地震,じしん
静,しずか
沈,しずむ
自然,しぜんに
思想,しそう
下,した
時代,じだい
従,したがう
従,したがって
下着,したぎ
仕度,したく
親,したしい
七,しち
しっかり,しっかり
失業,しつぎょう
実験,じっけん
実現,じつげん
実行,じっこう
実際,じっさい
失敗,しっぱい
質問,しつもん
失礼,しつれい
自転車,じてんしゃ
指導,しどう
自動車,じどうしゃ
品物,しなもの
死,しぬ
支配,しはい
芝居,しばい
しばらく,しばらく
縛,しばる
字引,じびき
渋,しぶい
自分,じぶん
島,しま
仕舞,しまう
しまる,しまる
地味,じみ
市民,しみん
事務,じむ
事務所,じむしょ
示,しめす
しめる,しめる
じゃあ,じゃあ
社会,しゃかい
写真,しゃしん
シャツ,しゃつ
しゃべる,しゃべる
邪魔,じゃま
週,しゅう
十,じゅう
自由,じゆう
習慣,しゅうかん
宗教,しゅうきょう
住所,じゅうしょ
就職,しゅうしょく
収入,しゅうにゅう
十分,じゅうぶん
重要,じゅうよう
修理,しゅうり
主義,しゅぎ
授業,じゅぎょう
受験,じゅけん
手術,しゅじゅつ
主人,しゅじん
手段,しゅだん
主張,しゅちょう
出席,しゅっせき
出発,しゅっぱつ
出版,しゅっぱん
趣味,しゅみ
種類,しゅるい
順,じゅん
巡査,じゅんさ
順序,じゅんじょ
準備,じゅんび
小,しょう
使用,しよう
上,じょう
紹介,しょうかい
正月,しょうがつ
小学校,しょうがっこう
商業,しょうぎょう
条件,じょうけん
正直,しょうじき
常識,じょうしき
乗車,じょうしゃ
少女,しょうじょ
上手,じょうず
小説,しょうせつ
招待,しょうたい
状態,じょうたい
承知,しょうち
少年,しょうねん
商売,しょうばい
商品,しょうひん
上品,じょうひん
丈夫,じょうぶ
証明,しょうめい
醤油,しょうゆ
将来,しょうらい
職業,しょくぎょう
食事,しょくじ
食堂,しょくどう
植物,しょくぶつ
女性,じょせい
知,しらせる
調,しらべる
知合,しりあい
知,しる
印,しるし
白,しろ
白,しろい
神経,しんけい
信仰,しんこう
信号,しんごう
人口,じんこう
神社,じんじゃ
人生,じんせい
親戚,しんせき
親切,しんせつ
心臓,しんぞう
身長,しんちょう
新年,しんねん
心配,しんぱい
新聞,しんぶん
進歩,しんぽ
信用,しんよう
心理,しんり
図,ず
水泳,すいえい
推薦,すいせん
水道,すいどう
随分,ずいぶん
吸,すう
数字,すうじ
スカート,すかーと
姿,すがた
好,すき
過,すぎる
空,すく
すぐ,すぐ
少,すくない
すごい,すごい
少,すこし
過,すごす
筋,すじ
涼,すずしい
進,すすむ
すすめる,すすめる
すっかり,すっかり
ずっと,ずっと
すっぱい,すっぱい
すてる,すてる
砂,すな
すなわち,すなわち
素晴,すばらしい
すべて,すべて
滑,すべる
スポーツ,すぽーつ
ズボン,ずぼん
住,すまい
隅,すみ
すみません,すみません
住,すむ
為,する
狡,ずるい
すると,すると
鋭,するどい
坐,すわる
背,せい
正確,せいかく
生活,せいかつ
税金,ぜいきん
