アーケード,あーけーど
救命具,きゅうめいぐ
急用,きゅうよう
給料,きゅうりょう
教,きょう
行,ぎょう
教育,きょういく
教員,きょういん
教科,きょうか
教会,きょうかい
教科書,きょうかしょ
競技,きょうぎ
行儀,ぎょうぎ
競技場,きょうぎじょう
供給,きょうきゅう
境遇,きょうぐう
教訓,きょうくん
狂言,きょうげん
恐慌,きょうこう
共産,きょうさん
共産主義,きょうさんしゅぎ
教師,きょうし
行司,ぎょうじ
教室,きょうしつ
業者,ぎょうしゃ
教授,きょうじゅ
恐縮,きょうしゅく
行水,ぎょうずい
強制,きょうせい
行政,ぎょうせい
業績,ぎょうせき
競走,きょうそう
共存,きょうぞん
兄弟,きょうだい
強調,きょうちょう
共通,きょうつう
共通語,きょうつうご
協定,きょうてい
京都,きょうと
共同,きょうどう
強熱,きょうねつ
脅迫,きょうはく
恐怖,きょうふ
強風,きょうふう
興味,きょうみ
教養,きょうよう
郷里,きょうり
恐竜,きょうりゅう
協力,きょうりょく
行列,ぎょうれつ
共和,きょうわ
許可,きょか
漁業,ぎょぎょう
曲,きょく
曲芸,きょくげい
曲線,きょくせん
極板,きょくばん
居住,きょじゅう
漁船,ぎょせん
漁村,ぎょそん
巨大,きょだい
去年,きょねん
拒否,きょひ
距離,きょり
嫌い,きらい
気楽,きらく
桐,きり
義理,ぎり
切り株,きりかぶ
切り紙,きりがみ
ぎりぎり,ぎりぎり
切り口,きりくち
ギリシャ,ぎりしゃ
キリスト教,きりすときょう
規律,きりつ
希硫酸,きりゅうさん
気力,きりょく
麒麟,きりん
切れ,きれ
記録,きろく
議論,ぎろん
際,きわ
金,きん
銀,ぎん
金色,きんいろ
銀色,ぎんいろ
禁煙,きんえん
金額,きんがく
銀紙,ぎんがみ
近眼,きんがん
近畿,きんき
緊急,きんきゅう
金魚,きんぎょ
金庫,きんこ
銀行,ぎんこう
銀行員,ぎんこういん
銀座,ぎんざ
近視,きんし
近所,きんじょ
金銭,きんせん
金属,きんぞく
近代,きんだい
緊張,きんちょう
筋肉,きんにく
勤勉,きんべん
勤務,きんむ
禁物,きんもつ
金融,きんゆう
金融機関,きんゆうきかん
金曜,きんよう
金曜日,きんようび
勤労,きんろう
具合,ぐあい
杭,くい
食いしん坊,くいしんぼう
空,くう
空間,くうかん
空気,くうき
空軍,くうぐん
空港,くうこう
偶数,ぐうすう
空想,くうそう
空中,くうちゅう
空腹,くうふく
クーラー,くーらー
九月,くがつ
茎,くき
釘,くぎ
釘抜き,くぎぬき
括り,くくり
潜り,くぐり
草,くさ
草木,くさき
草取り,くさとり
草原,くさはら
くさむら,くさむら
嚏,くさめ
鎖,くさり
串,くし
孔雀,くじゃく
嚔,くしゃみ
鯨,くじら
鯨雲,くじらぐも
苦心,くしん
屑,くず
屑入れ,くずいれ
屑篭,くずかご
擽り,くすぐり
薬玉,くすだま
薬,くすり
薬箱,くすりばこ
薬屋,くすりや
薬指,くすりゆび
崩れ,くずれ
くせ,くせ
管,くだ
具体,ぐたい
下り,くだり
口,くち
口口,くちぐち
嘴,くちばし
唇,くちびる
口笛,くちぶえ
口紅,くちべに
くつ,くつ
苦痛,くつう
靴下,くつした
クッション,くっしょん
屈折,くっせつ
靴箱,くつばこ
靴磨き,くつみがき
靴屋,くつや
句読点,くとうてん
国,くに
国国,くにぐに
国中,くにじゅう
櫟林,くぬぎばやし
配り,くばり
くび,くび
くびかざり,くびかざり
首輪,くびわ
工夫,くふう
区別,くべつ
窪地,くぼち
窪み,くぼみ
熊,くま
熊吉,くまきち
熊手,くまで
組み,くみ
組合,くみあい
組み合わせ,くみあわせ
雲,くも
曇り,くもり
曇り勝ち,くもりがち
曇り空,くもりぞら
区役所,くやくしょ
悔しさ,くやしさ
悔し泣き,くやしなき
くら,くら
位,くらい
グライダー,ぐらいだー
グラウンド,ぐらうんど
暮らし,くらし
クラシック,くらしっく
クラス,くらす
グラフ,ぐらふ
クラブ活動,くらぶかつどう
くらべ,くらべ
暗闇,くらやみ
栗,くり
クリーニング,くりーにんぐ
クリーニング屋,くりーにんぐや
クリーム,くりーむ
クリームソーダ,くりーむそーだ
グリーン,ぐりーん
クリケット,くりけっと
クリスマス,くりすます
クリップ,くりっぷ
狂い,くるい
グループ,ぐるーぷ
苦しみ,くるしみ
車,くるま
ぐるり,ぐるり
暮れ,くれ
クレーン,くれーん
黒,くろ
苦労,くろう
黒鬼,くろおに
クローバー,くろーばー
グローブ,ぐろーぶ
黒字,くろじ
黒猫,くろねこ
桑,くわ
鍬形虫,くわがたむし
訓,くん
軍,ぐん
軍艦,ぐんかん
軍事,ぐんじ
君主,くんしゅ
群衆,ぐんしゅう
軍人,ぐんじん
軍隊,ぐんたい
軍手,ぐんて
軍備,ぐんび
群馬県,ぐんまけん
訓読み,くんよみ
群落,ぐんらく
訓練,くんれん
計,けい
芸,げい
経営,けいえい
経営者,けいえいしゃ
経過,けいか
警戒,けいかい
計画,けいかく
警官,けいかん
景気,けいき
敬具,けいぐ
経験,けいけん
稽古,けいこ
敬語,けいご
傾向,けいこう
蛍光灯,けいこうとう
警告,けいこく
掲載,けいさい
経済,けいざい
警察,けいさつ
警察署,けいさつしょ
計算,けいさん
掲示,けいじ
形式,けいしき
掲示板,けいじばん
傾斜,けいしゃ
芸術,げいじゅつ
芸術家,げいじゅつか
形成,けいせい
継続,けいぞく
軽率,けいそつ
形態,けいたい
警笛,けいてき
毛糸,けいと
系統,けいとう
芸当,げいとう
芸能,げいのう
競馬,けいば
経費,けいひ
軽蔑,けいべつ
啓蒙,けいもう
契約,けいやく
経由,けいゆ
形容詞,けいようし
形容動詞,けいようどうし
経歴,けいれき
系列,けいれつ
ケーキ,けーき
ケース,けーす
ケーブルカー,けーぶるかー
ゲーム,げーむ
怪我,けが
外科,げか
怪我人,けがにん
毛皮,けがわ
劇,げき
劇遊び,げきあそび
激化,げきか
劇場,げきじょう
激励,げきれい
下校,げこう
消しゴム,けしごむ
下車,げしゃ
下宿,げしゅく
下旬,げじゅん
化粧,けしょう
下駄,げた
獣,けだもの
下駄屋さん,げたやさん
けち,けち
ケチャップ,けちゃっぷ
けちん坊,けちんぼう
月,げつ
血圧,けつあつ
決意,けつい
血液,けつえき
結果,けっか
結核,けっかく
血管,けっかん
月給,げっきゅう
結局,けっきょく
結構,けっこう
結合,けつごう
結婚,けっこん
結婚式,けっこんしき
傑作,けっさく
決算,けっさん
月謝,げっしゃ
決勝,けっしょう
げっしょく,げっしょく
決心,けっしん
けっせき,けっせき
決定,けってい
けってん,けってん
月賦,げっぷ
月末,げつまつ
月曜,げつよう
月曜日,げつようび
結論,けつろん
気配,けはい
毛虫,けむし
けむり,けむり
獣,けもの
家来,けらい
下痢,げり
剣,けん
弦,げん
権威,けんい
原因,げんいん
喧嘩,けんか
見解,けんかい
限界,げんかい
見学,けんがく
玄関,げんかん
元気,げんき
研究,けんきゅう
現金,げんきん
献血,けんけつ
権限,けんげん
言語,げんご
健康,けんこう
原稿,げんこう
原稿用紙,げんこうようし
拳骨,げんこつ
検査,けんさ
現在,げんざい
原作,げんさく
検事,けんじ
原子,げんし
原子核,げんしかく
原始時代,げんしじだい
原子団,げんしだん
現実,げんじつ
厳守,げんしゅ
研修,けんしゅう
現住所,げんじゅうしょ
研修生,けんしゅうせい
原書,げんしょ
懸賞,けんしょう
減少,げんしょう
現状,げんじょう
原子量,げんしりょう
懸垂,けんすい
建設,けんせつ
元素,げんそ
現像,げんぞう
原則,げんそく
謙遜,けんそん
現代,げんだい
けんだま,けんだま
見地,けんち
現地,げんち
建築,けんちく
県庁,けんちょう
原腸,げんちょう
限度,げんど
見当,けんとう
剣道,けんどう
幻灯,げんとう
現場,げんば
原爆,げんばく
顕微鏡,けんびきょう
見物,けんぶつ
見物人,けんぶつにん
憲法,けんぽう
研磨,けんま
賢明,けんめい
倹約,けんやく
原油,げんゆ
権利,けんり
原理,げんり
原料,げんりょう
権力,けんりょく
言論,げんろん
コアラ,こあら
鯉,こい
語彙,ごい
小石,こいし
こいぬ,こいぬ
鯉幟,こいのぼり
恋人,こいびと
コイン,こいん
コインロッカー,こいんろっかー
校,こう
号,ごう
高圧,こうあつ
高圧線,こうあつせん
好意,こうい
更衣室,こういしつ
工員,こういん
こううん,こううん
耕耘機,こううんき
公園,こうえん
高温,こうおん
効果,こうか
豪華,ごうか
後悔,こうかい
公害,こうがい
号外,ごうがい
合格,ごうかく
交換,こうかん
後期,こうき
抗議,こうぎ
高級,こうきゅう
公共,こうきょう
工業,こうぎょう
工業地,こうぎょうち
工業都市,こうぎょうとし
工具,こうぐ
航空,こうくう
航空機,こうくうき
航空便,こうくうびん
光景,こうけい
工芸,こうげい
合計,ごうけい
好景気,こうけいき
攻撃,こうげき
高原,こうげん
口語,こうご
高校,こうこう
皇后,こうごう
高校生,こうこうせい
光合成,こうごうせい
広告,こうこく
交際,こうさい
工作,こうさく
交差点,こうさてん
降参,こうさん
鉱山,こうざん
講師,こうし
工事,こうじ
公式,こうしき
校舎,こうしゃ
公衆,こうしゅう
豪州,ごうしゅう
交渉,こうしょう
工場,こうじょう
強情,ごうじょう
甲状腺,こうじょうせん
行進,こうしん
香水,こうすい
洪水,こうずい
降水量,こうすいりょう
構成,こうせい
合成,ごうせい
構成式,こうせいしき
こうせき,こうせき
光線,こうせん
酵素,こうそ
構想,こうそう
構造,こうぞう
高層ビル,こうそうびる
高速,こうそく
高速道路,こうそくどうろ
皇太子,こうたいし
耕地,こうち
紅茶,こうちゃ
校長,こうちょう
校長室,こうちょうしつ
交通,こうつう
交通事故,こうつうじこ
交通整理,こうつうせいり
交通費,こうつうひ
校庭,こうてい
高度,こうど
高等,こうとう
講堂,こうどう
強盗,ごうとう
合同,ごうどう
購入,こうにゅう
鸛,こうのとり
工場,こうば
後輩,こうはい
後半,こうはん
交番,こうばん
交付,こうふ
幸福,こうふく
幸福感,こうふくかん
好物,こうぶつ
興奮,こうふん
神戸,こうべ
公平,こうへい
候補,こうほ
後方,こうほう
公務,こうむ
公務員,こうむいん
項目,こうもく
校門,こうもん
甲羅,こうら
小売り,こうり
合理,ごうり
合理化,ごうりか
公立,こうりつ
交流,こうりゅう
考慮,こうりょ
効力,こうりょく
合力,ごうりょく
号令,ごうれい
声,こえ
小枝,こえだ
コース,こーす
コーチ,こーち
コート,こーと
コード,こーど
氷,こおり
ゴール,ごーる
誤解,ごかい
語学,ごがく
こかげ,こかげ
こがた,こがた
五月,ごがつ
子亀,こがめ
子鴨,こがも
こがらし,こがらし
御機嫌,ごきげん
小切手,こぎって
こぎつね,こぎつね
ごきぶり,ごきぶり
呼吸,こきゅう
呼吸器官,こきゅうきかん
故郷,こきょう
国,こく
語句,ごく
国王,こくおう
国外,こくがい
国語,こくご
国際,こくさい
国産,こくさん
国籍,こくせき
国鉄,こくてつ
国電,こくでん
国土,こくど
国内,こくない
告白,こくはく
黒板,こくばん
黒板消し,こくばんけし
国宝,こくほう
国防,こくぼう
こぐま,こぐま
国民,こくみん
国名,こくめい
穀物,こくもつ
国有,こくゆう
極楽,ごくらく
国立,こくりつ
国連,こくれん
御苦労,ごくろう
苔,こけ
焦げ,こげ
こけし,こけし
苔桃,こけもも
苔桃山,こけももやま
ごげん,ごげん
ここ,ここ
午後,ごご
ココア,ここあ
心地,ここち
小言,こごと
九日,ここのか
九つ,ここのつ
心,こころ
心得,こころえ
心掛け,こころがけ
試み,こころみ
心持ち,こころもち
ござ,ござ
小雨,こさめ
子猿,こざる
腰,こし
孤児,こじ
腰掛け,こしかけ
乞食,こじき
五十,ごじゅう
五十音,ごじゅうおん
胡椒,こしょう
個人,こじん
コスモス,こすもす
個性,こせい
戸籍,こせき
午前,ごぜん
午前中,ごぜんちゅう
小僧,こぞう
ごぞんじ,ごぞんじ
個体,こたい
古代,こだい
こたえ,こたえ
答え合わせ,こたえあわせ
こたつ,こたつ
こだま,こだま
御馳走,ごちそう
誇張,こちょう
骨,こつ
国家,こっか
国会,こっかい
小遣い,こづかい
国旗,こっき
国境,こっきょう
滑稽,こっけい
国交,こっこう
骨折,こっせつ
小包,こづつみ
古典,こてん
御殿,ごてん
事,こと
小道具,こどうぐ
事柄,ことがら
孤独,こどく
ことば,ことば
言葉遣い,ことばづかい
子供,こども
小鳥,ことり
諺,ことわざ
断り,ことわり
粉,こな
粉箱,こなばこ
粉雪,こなゆき
こねこ,こねこ
こねずみ,こねずみ
五年生,ごねんせい
此の間,このあいだ
此の方,このかた
此の頃,このごろ
此の度,このたび
此の次,このつぎ
此の後,こののち
此の辺,このへん
此の外,このほか
此の前,このまえ
此の侭,このまま
好み,このみ
此の世,このよ
小林,こばやし
御飯,ごはん
御飯粒,ごはんつぶ
コピー,こぴー
子羊,こひつじ
小人,こびと
瘤,こぶ
こぶた,こぶた
御褒美,ごほうび
こま,こま
胡麻,ごま
コマーシャル,こまーしゃる
ごまかし,ごまかし
駒鳥,こまどり
ごみ,ごみ
ごみ入れ,ごみいれ
ごみ箱,ごみばこ
小麦,こむぎ
小麦粉,こむぎこ
米,こめ
御免,ごめん
子守歌,こもりうた
小屋,こや
肥やし,こやし
小山,こやま
小雪,こゆき
小指,こゆび
こよう,こよう
暦,こよみ
娯楽,ごらく
御覧,ごらん
子リス,こりす
孤立,こりつ
ゴリラ,ごりら
コルク,こるく
ゴルフ,ごるふ
これから,これから
頃,ころ
ごろごろ,ごろごろ
衣,ころも
衣替え,ころもがえ
紺,こん
今回,こんかい
根拠,こんきょ
コンクリート,こんくりーと
今月,こんげつ
今後,こんご
混合,こんごう
コンサート,こんさーと
混雑,こんざつ
今週,こんしゅう
コンセント,こんせんと
献立,こんだて
昆虫,こんちゅう
コンテナー,こんてなー
今度,こんど
困難,こんなん
今日,こんにち
こんにゃく,こんにゃく
コンパ,こんぱ
今晩,こんばん
コンビニ,こんびに
コンピューター,こんぴゅーたー
昆布,こんぶ
根本,こんぽん
今夜,こんや
婚約,こんやく
混乱,こんらん
焜炉,こんろ
サーカス,さーかす
サークル,さーくる
サービス,さーびす
最,さい
財,ざい
再開,さいかい
災害,さいがい
在学,ざいがく
細菌,さいきん
細工,さいく
サイクリング,さいくりんぐ
サイクル,さいくる
再建,さいけん
最後,さいご
在庫,ざいこ
最高,さいこう
採算,さいさん
財産,ざいさん
妻子,さいし
祭日,さいじつ
最終,さいしゅう
最初,さいしょ
最小,さいしょう
最上,さいじょう
菜食,さいしょく
最新,さいしん
最新式,さいしんしき
サイズ,さいず
財政,ざいせい
賽銭箱,さいせんばこ
催促,さいそく
最大,さいだい
裁断,さいだん
最中,さいちゅう
最低,さいてい
採点,さいてん
斉藤,さいとう
災難,さいなん
才能,さいのう
栽培,さいばい
財閥,ざいばつ
裁判,さいばん
裁判官,さいばんかん
裁判所,さいばんしょ
財布,さいふ
裁縫,さいほう
細胞,さいぼう
材木,ざいもく
採用,さいよう
材料,ざいりょう
サイレン,さいれん
幸い,さいわい
サイン,さいん
囀り,さえずり
さお,さお
竿竹,さおだけ
坂,さか
逆上がり,さかあがり
さかい,さかい
逆さ,さかさ
逆様,さかさま
さがし,さがし
さかずき,さかずき
逆立ち,さかだち
魚,さかな
魚売り,さかなうり
魚屋,さかなや
坂道,さかみち
酒屋,さかや
盛り,さかり
下がり,さがり
盛り場,さかりば
先,さき
詐欺,さぎ
先程,さきほど
砂丘,さきゅう
作業,さぎょう
柵,さく
索引,さくいん
ざくざく,ざくざく
昨日,さくじつ
作者,さくしゃ
作製,さくせい
作戦,さくせん
昨年,さくねん
昨晩,さくばん
作品,さくひん
作文,さくぶん
作物,さくもつ
昨夜,さくや
桜,さくら
さくらんぼ,さくらんぼ
探り,さぐり
酒,さけ
叫び,さけび
叫び声,さけびごえ
笹,ささ
佐佐木,ささき
囁き,ささやき
さし,さし
匙,さじ
座敷,ざしき
指図,さしず
差し引き,さしひき
刺身,さしみ
座席,ざせき
誘い,さそい
座談会,ざだんかい
札,さつ
撮影,さつえい
撮影所,さつえいじょ
雑音,ざつおん
作家,さっか
雑貨,ざっか
サッカー,さっかー
サッカークラブ,さっかーくらぶ
サッカーボール,さっかーぼーる
錯覚,さっかく
さっき,さっき
作曲,さっきょく
雑誌,ざっし
雑談,ざつだん
殺虫剤,さっちゅうざい
雑費,ざっぴ
札幌,さっぽろ
里,さと
里芋,さといも
砂糖,さとう
茶道,さどう
蛹,さなぎ
さばく,さばく
さび,さび
ざぶとん,ざぶとん
様,さま
様様,さまざま
寒気,さむけ
寒さ,さむさ
侍,さむらい
鮫,さめ
左右,さゆう
作用,さよう
作用点,さようてん
皿,さら
再来月,さらいげつ
再来週,さらいしゅう
再来年,さらいねん
晒し粉,さらしこ
サラダ,さらだ
サラリーマン,さらりーまん
ざりがに,ざりがに
猿,さる
笊,ざる
騒ぎ,さわぎ
触り,さわり
三,さん
山陰,さんいん
参加,さんか
三角,さんかく
三角形,さんかくけい
三角帽子,さんかくぼうし
三月,さんがつ
参観日,さんかんび
参議院,さんぎいん
産業,さんぎょう
残業,ざんぎょう
サングラス,さんぐらす
参考,さんこう
参考書,さんこうしょ
残酷,ざんこく
三十,さんじゅう
産出,さんしゅつ
算術,さんじゅつ
山椒,さんしょう
三乗,さんじょう
算数,さんすう
賛成,さんせい
酸素,さんそ
サンタクロース,さんたくろーす
サンダル,さんだる
産地,さんち
山頂,さんちょう
サンドイッチ,さんどいっち
参道,さんどう
残念,ざんねん
三年生,さんねんせい
サンパウロ,さんぱうろ
桟橋,さんばし
散髪,さんぱつ
産物,さんぶつ
散歩,さんぽ
山脈,さんみゃく
山門,さんもん
山陽,さんよう
三輪車,さんりんしゃ
しあい,しあい
仕上げ,しあげ
しあわせ,しあわせ
爺,じい
飼育,しいく
飼育係,しいくがかり
爺様,じいさま
シーズン,しーずん
シーソー,しーそー
爺ちゃん,じいちゃん
シーツ,しーつ
シーディー,しーでぃー
ジーパン,じーぱん
シール,しーる
仕入れ,しいれ
子音,しいん
自衛,じえい
ジェイアール,じぇいあーる
ジェット機,じぇっとき
塩,しお
潮干狩り,しおひがり
鹿,しか
直,じか
司会,しかい
市外,しがい
紫外線,しがいせん
仕返し,しかえし
四角,しかく
自覚,じかく
四角形,しかくけい
仕掛け,しかけ
仕方,しかた
四月,しがつ
しかめっ面,しかめっつら
時間,じかん
時間表,じかんひょう
時間割り,じかんわり
式,しき
直,じき
敷居,しきい
色彩,しきさい
指揮者,しきしゃ
色素,しきそ
敷地,しきち
至急,しきゅう
自給,じきゅう
事業,じぎょう
始業式,しぎょうしき
仕切り,しきり
資金,しきん
軸,じく
ジグ,じぐ
ジグザグ,じぐざぐ
しくじり,しくじり
仕組み,しくみ
しげき,しげき
しげみ,しげみ
試験,しけん
資源,しげん
事件,じけん
試験管,しけんかん
自己,じこ
四国,しこく
時刻,じこく
地獄,じごく
自己紹介,じこしょうかい
しごと,しごと
仕込み,しこみ
資材,しざい
視察,しさつ
支持,しじ
事実,じじつ
獅子舞,ししまい
蜆,しじみ
磁石,じしゃく
四捨五入,ししゃごにゅう
自主,じしゅ
刺繍,ししゅう
始終,しじゅう
自習,じしゅう
支出,ししゅつ
辞書,じしょ
じじょ,じじょ
市場,しじょう
事情,じじょう
詩人,しじん
地震,じしん
自信満満,じしんまんまん
指数,しすう
しずく,しずく
沈み,しずみ
姿勢,しせい
施設,しせつ
支線,しせん
自然,しぜん
自然科学,しぜんかがく
思想,しそう
地蔵,じぞう
持続,じぞく
子孫,しそん
舌,した
次第,しだい
事態,じたい
時代,じだい
時代劇,じだいげき
下請け,したうけ
下書き,したがき
下着,したぎ
したく,したく
自宅,じたく
親しみ,したしみ
仕立て屋,したてや
下町,したまち
下向き,したむき
七,しち
自治,じち
七月,しちがつ
七五三,しちごさん
七十,しちじゅう
七福神,しちふくじん
市長,しちょう
室,しつ
日,じつ
実感,じっかん
失業,しつぎょう
湿気,しっけ
しつけ,しつけ
失敬,しっけい
実験,じっけん
実現,じつげん
実行,じっこう
実際,じっさい
実施,じっし
実質,じっしつ
実習,じっしゅう
実情,じつじょう
実績,じっせき
実践,じっせん
質素,しっそ
実態,じったい
嫉妬,しっと
湿度,しつど
室内,しつない
失敗,しっぱい
執筆,しっぴつ
湿布,しっぷ
実物,じつぶつ
失望,しつぼう
質問,しつもん
実用,じつよう
質量,しつりょう
実力,じつりょく
失礼,しつれい
実例,じつれい
指定,してい
指摘,してき
私鉄,してつ
支店,してん
市電,しでん
事典,じてん
自転車,じてんしゃ
指導,しどう
自動,じどう
児童館,じどうかん
自動車,じどうしゃ
自動ドア,じどうどあ
品,しな
市内,しない
品物,しなもの
地均し,じならし
じなん,じなん
地主,じぬし
芝,しば
支配,しはい
芝居,しばい
始発,しはつ
支払い,しはらい
縛り,しばり
字引,じびき
地響き,じひびき
痺れ,しびれ
渋,しぶ
渋柿,しぶがき
自分,じぶん
紙幣,しへい
四方,しほう
脂肪,しぼう
絞り,しぼり
資本,しほん
資本家,しほんか
資本主義,しほんしゅぎ
島,しま
仕舞い,しまい
縞馬,しまうま
始末,しまつ
縞模様,しまもよう
締まり,しまり
自慢,じまん
染み,しみ
地味,じみ
市民,しみん
市民革命,しみんかくめい
事務,じむ
事務員,じむいん
事務室,じむしつ
事務所,じむしょ
氏名,しめい
湿し,しめし
湿り,しめり
地面,じめん
下,しも
霜柱,しもばしら
霜焼け,しもやけ
指紋,しもん
ジャーナリスト,じゃーなりすと
社員,しゃいん
社会,しゃかい
社会科学,しゃかいかがく
社会主義,しゃかいしゅぎ
ジャカルタ,じゃかるた
癪,しゃく
弱,じゃく
市役所,しやくしょ
蛇口,じゃぐち
尺取り虫,しゃくとりむし
ジャケット,じゃけっと
車庫,しゃこ
車掌,しゃしょう
写真,しゃしん
写生,しゃせい
社説,しゃせつ
車体,しゃたい
遮断,しゃだん
社長,しゃちょう
シャツ,しゃつ
借金,しゃっきん
しゃっくり,しゃっくり
シャッター,しゃったー
車道,しゃどう
車内,しゃない
しゃぶり,しゃぶり
喋り,しゃべり
シャベル,しゃべる
シャボン玉,しゃぼんだま
邪魔,じゃま
ジャム,じゃむ
シャム猫,しゃむねこ
斜面,しゃめん
しゃりょう,しゃりょう
車輪,しゃりん
シャワー,しゃわー
ジャングル,じゃんぐる
ジャングルジム,じゃんぐるじむ
ジャングル中,じゃんぐるじゅう
じゃん拳,じゃんけん
じゃん拳ぽん,じゃんけんぽん
ジャンパー,じゃんぱー
ジャンプ,じゃんぷ
シャンプー,しゃんぷー
週,しゅう
十,じゅう
自由,じゆう
周囲,しゅうい
獣医さん,じゅういさん
十一月,じゅういちがつ
収穫,しゅうかく
十月,じゅうがつ
週間,しゅうかん
周期,しゅうき
衆議院,しゅうぎいん
住居,じゅうきょ
宗教,しゅうきょう
従業員,じゅうぎょういん
終業式,しゅうぎょうしき
集金,しゅうきん
襲撃,しゅうげき
集合,しゅうごう
重工業,じゅうこうぎょう
十五夜,じゅうごや
収支,しゅうし
従事,じゅうじ
充実,じゅうじつ
しゅうしゅう,しゅうしゅう
自由主義,じゆうしゅぎ
収縮,しゅうしゅく
住所,じゅうしょ
就職,しゅうしょく
修飾語,しゅうしょくご
十字路,じゅうじろ
就寝,しゅうしん
重心,じゅうしん
ジュース,じゅーす
修正,しゅうせい
修繕,しゅうぜん
臭素,しゅうそ
従属,じゅうぞく
渋滞,じゅうたい
重大,じゅうだい
住宅,じゅうたく
集団,しゅうだん
じゅうたん,じゅうたん
執着,しゅうちゃく
集中,しゅうちゅう
終点,しゅうてん
重点,じゅうてん
充電,じゅうでん
柔道,じゅうどう
十二月,じゅうにがつ
十二支,じゅうにし
収入,しゅうにゅう
就任,しゅうにん
重箱,じゅうばこ
秋分,しゅうぶん
周辺,しゅうへん
週末,しゅうまつ
住民,じゅうみん
重役,じゅうやく
重油,じゅうゆ
収容,しゅうよう
重要,じゅうよう
重要性,じゅうようせい
従来,じゅうらい
修理,しゅうり
終了,しゅうりょう
終了式,しゅうりょうしき
重力,じゅうりょく
守衛,しゅえい
主演,しゅえん
主観,しゅかん
主義,しゅぎ
儒教,じゅきょう
授業,じゅぎょう
塾,じゅく
熟語,じゅくご
祝日,しゅくじつ
縮小,しゅくしょう
宿題,しゅくだい
受験,じゅけん
主語,しゅご
主催,しゅさい
種子,しゅし
種種,しゅじゅ
手術,しゅじゅつ
首相,しゅしょう
主食,しゅしょく
主人,しゅじん
受信,じゅしん
主体,しゅたい
主題,しゅだい
手段,しゅだん
主張,しゅちょう
出演,しゅつえん
出勤,しゅっきん
出血,しゅっけつ
述語,じゅつご
出産,しゅっさん
出生,しゅっしょう
出場,しゅつじょう
出身,しゅっしん
出世,しゅっせ
出席,しゅっせき
出張,しゅっちょう
出発,しゅっぱつ
出版,しゅっぱん
出版社,しゅっぱんしゃ
出品,しゅっぴん
首都,しゅと
主任,しゅにん
守備,しゅび
主婦,しゅふ
趣味,しゅみ
寿命,じゅみょう
種目,しゅもく
主役,しゅやく
主要,しゅよう
需要,じゅよう
需要者,じゅようしゃ
種類,しゅるい
受話器,じゅわき
順,じゅん
瞬間,しゅんかん
循環,じゅんかん
準急,じゅんきゅう
巡査,じゅんさ
順順,じゅんじゅん
順序,じゅんじょ
純情,じゅんじょう
純粋,じゅんすい
順調,じゅんちょう
順番,じゅんばん
準備,じゅんび
春分,しゅんぶん
小,しょう
仕様,しよう
城,じょう
少雨,しょうう
上演,じょうえん
唱歌,しょうか
しょうが,しょうが
紹介,しょうかい
生涯,しょうがい
消火器,しょうかき
奨学金,しょうがくきん
小学生,しょうがくせい
正月,しょうがつ
小学校,しょうがっこう
将棋,しょうぎ
蒸気,じょうき
定規,じょうぎ
将棋倒し,しょうぎだおし
乗客,じょうきゃく
上級,じょうきゅう
商業,しょうぎょう
上京,じょうきょう
消極,しょうきょく
上空,じょうくう
将軍,しょうぐん
上下,じょうげ
条件,じょうけん
証拠,しょうこ
正午,しょうご
昇降口,しょうこうぐち
詳細,しょうさい
硝酸,しょうさん
障子,しょうじ
正直,しょうじき
常識,じょうしき
商社,しょうしゃ
乗車,じょうしゃ
乗車券,じょうしゃけん
上旬,じょうじゅん
少女,しょうじょ
少少,しょうしょう
症状,しょうじょう
上昇,じょうしょう
小数,しょうすう
小説,しょうせつ
正体,しょうたい
状態,じょうたい
承諾,しょうだく
冗談,じょうだん
承知,しょうち
情緒,じょうちょ
小腸,しょうちょう
商店,しょうてん
商店街,しょうてんがい
焦点距離,しょうてんきょり
上等,じょうとう
消毒,しょうどく
衝突,しょうとつ
商人,しょうにん
使用人,しようにん
情熱,じょうねつ
少年,しょうねん
勝敗,しょうはい
商売,しょうばい
蒸発,じょうはつ
消費,しょうひ
商品,しょうひん
勝負,しょうぶ
小便,しょうべん
消防,しょうぼう
情報,じょうほう
消防士,しょうぼうし
消防署,しょうぼうしょ
証明,しょうめい
消滅,しょうめつ
正面,しょうめん
消耗,しょうもう
条約,じょうやく
醤油,しょうゆ
乗用車,じょうようしゃ
将来,しょうらい
勝利,しょうり
上陸,じょうりく
省略,しょうりゃく
上流,じょうりゅう
小量,しょうりょう
奨励,しょうれい
如雨露,じょうろ
昭和,しょうわ
女王,じょおう
女王様,じょおうさま
除外,じょがい
書記,しょき
初級,しょきゅう
除去,じょきょ
助教授,じょきょうじゅ
色,しょく
職員,しょくいん
職員室,しょくいんしつ
食塩,しょくえん
職業,しょくぎょう
食事,しょくじ
食卓,しょくたく
食堂,しょくどう
職人,しょくにん
職場,しょくば
触媒,しょくばい
食費,しょくひ
食品,しょくひん
植物,しょくぶつ
植物園,しょくぶつえん
植物体,しょくぶつたい
食物,しょくもつ
食欲,しょくよく
食料,しょくりょう
食料品,しょくりょうひん
徐行,じょこう
諸国,しょこく
書斎,しょさい
女子,じょし
助手,じょしゅ
女性,じょせい
除雪車,じょせつしゃ
所属,しょぞく
処置,しょち
女中,じょちゅう
