アーケード,あーけーど
イメージ,いめーじ
いも,いも
妹,いもうと
芋掘り,いもほり
芋虫,いもむし
イヤホーン,いやほーん
イヤリング,いやりんぐ
いよく,いよく
以来,いらい
イラク,いらく
イラン,いらん
入り,いり
入り口,いりぐち
衣料,いりょう
入り用,いりよう
衣類,いるい
入れ,いれ
入れ違い,いれちがい
入れ歯,いれば
入れ物,いれもの
色,いろ
色色,いろいろ
色鉛筆,いろえんぴつ
色紙,いろがみ
囲炉裏,いろり
いわ,いわ
祝い,いわい
いわし,いわし
鰯雲,いわしぐも
謂れ,いわれ
印,いん
印鑑,いんかん
いんこ,いんこ
咽喉,いんこう
印刷,いんさつ
印象,いんしょう
インスタント,いんすたんと
隕石,いんせき
インターネット,いんたーねっと
インターン,いんたーん
いんちき,いんちき
インド,いんど
インドネシア,いんどねしあ
インフレ,いんふれ
引用,いんよう
ウイスキー,ういすきー
ウール,うーる
上,うえ
ウェイトレス,うぇいとれす
植木,うえき
植木鉢,うえきばち
上下,うえした
魚,うお
嗽,うがい
伺い,うかがい
浮き,うき
浮き袋,うきぶくろ
鴬,うぐいす
ウクレレ,うくれれ
うけ,うけ
受付,うけつけ
うけとり,うけとり
受け身,うけみ
受け持ち,うけもち
動き,うごき
動き方,うごきかた
兎,うさぎ
牛,うし
後ろ,うしろ
後ろ歯,うしろば
後ろ向き,うしろむき
臼,うす
渦,うず
薄着,うすぎ
薄曇り,うすぐもり
渦巻き,うずまき
嘘,うそ
嘘つき,うそつき
嘘泣き,うそなき
歌,うた
謡,うたい
疑い,うたがい
歌声,うたごえ
打ち,うち
打ち合わせ,うちあわせ
内側,うちがわ
打ち消し,うちけし
内田,うちだ
打出の小槌,うちでのこづち
宇宙,うちゅう
内輪,うちわ
内訳,うちわけ
写し,うつし
訴え,うったえ
うつぶせ,うつぶせ
俯き,うつむき
写り,うつり
うつりかわり,うつりかわり
器,うつわ
腕,うで
腕組み,うでぐみ
腕前,うでまえ
腕捲り,うでまくり
雨天,うてん
饂飩,うどん
鰻,うなぎ
唸り,うなり
うぬぼれ,うぬぼれ
馬,うま
馬乗り,うまのり
うまや,うまや
生まれ,うまれ
生まれつき,うまれつき
海,うみ
産み立て,うみたて
海辺,うみべ
有無,うむ
梅,うめ
梅干し,うめぼし
裏,うら
裏表,うらおもて
裏返し,うらがえし
裏口,うらぐち
占い女,うらないおんな
裏庭,うらにわ
うらみ,うらみ
裏門,うらもん
瓜,うり
売り上げ,うりあげ
売り切れ,うりきれ
売り場,うりば
売り物,うりもの
雨量,うりょう
漆,うるし
嬉し泣き,うれしなき
うろ,うろ
鱗,うろこ
うわぎ,うわぎ
噂,うわさ
上履き,うわばき
運,うん
運営,うんえい
運河,うんが
うんこ,うんこ
運送,うんそう
うんち,うんち
運賃,うんちん
運転,うんてん
運転手,うんてんしゅ
運動,うんどう
運動会,うんどうかい
運動着,うんどうぎ
運道具,うんどうぐ
運動靴,うんどうぐつ
運動クラブ,うんどうくらぶ
運動場,うんどうじょう
運搬,うんぱん
運命,うんめい
運輸,うんゆ
運用,うんよう
永遠,えいえん
映画,えいが
映画館,えいがかん
永久,えいきゅう
影響,えいきょう
営業,えいぎょう
英語,えいご
英国,えいこく
映写機,えいしゃき
衛生,えいせい
英文,えいぶん
英文学,えいぶんがく
英雄,えいゆう
えいよう,えいよう
英和,えいわ
英和辞典,えいわじてん
絵描き歌,えかきうた
駅,えき
駅員,えきいん
液化,えきか
液体,えきたい
液体酸素,えきたいさんそ
駅前,えきまえ
液面,えきめん
えくぼ,えくぼ
餌,えさ
エジソン,えじそん
エジプト,えじぷと
エスエフ,えすえふ
エスエル,えすえる
エスオーエス,えすおーえす
エスカレーター,えすかれーたー
枝,えだ
絵地図,えちず
江戸,えど
江戸時代,えどじだい
絵日記,えにっき
絵の具,えのぐ
絵葉書,えはがき
蝦蟹,えびがに
エプロン,えぷろん
エベレスト,えべれすと
絵本,えほん
獲物,えもの
衣紋掛け,えもんかけ
エラー,えらー
えり,えり
襟巻,えりまき
円,えん
塩化,えんか
宴会,えんかい
塩化水素,えんかすいそ
縁側,えんがわ
沿岸,えんがん
延期,えんき
縁起,えんぎ
園芸,えんげい
演劇,えんげき
塩酸,えんさん
エンジニア,えんじにあ
演習,えんしゅう
演出,えんしゅつ
援助,えんじょ
エンジン,えんじん
演説,えんぜつ
エンゼル,えんぜる
塩素,えんそ
演奏,えんそう
演奏会,えんそうかい
遠足,えんそく
塩素水,えんそすい
縁談,えんだん
延長,えんちょう
園庭,えんてい
煙突,えんとつ
縁日,えんにち
鉛筆,えんぴつ
遠方,えんぽう
遠慮,えんりょ
お愛想,おあいそ
おあし,おあし
お預け,おあずけ
甥,おい
おいちに,おいちに
お出で,おいで
お祈り,おいのり
お祝い,おいわい
王,おう
応援,おうえん
扇,おうぎ
応急,おうきゅう
王様,おうさま
王子,おうじ
欧州,おうしゅう
応接,おうせつ
応接間,おうせつま
応対,おうたい
横断,おうだん
横断歩道,おうだんほどう
横転,おうてん
黄銅鉱,おうどうこう
往復,おうふく
欧米,おうべい
応募,おうぼ
鸚鵡,おうむ
応用,おうよう
大雨,おおあめ
おおい,おおい
大急ぎ,おおいそぎ
大威張り,おおいばり
大売出し,おおうりだし
大男,おおおとこ
大風,おおかぜ
おおがた,おおがた
狼,おおかみ
大きさ,おおきさ
多く,おおく
大蔵,おおくら
オーケストラ,おーけすとら
大声,おおごえ
大阪,おおさか
大騒ぎ,おおさわぎ
オーストラリア,おーすとらりあ
オーストリア,おーすとりあ
おおぜい,おおぜい
大掃除,おおそうじ
大通り,おおどおり
大年,おおどし
オートバイ,おーとばい
大賑わい,おおにぎわい
オーバー,おーばー
オーバーコート,おーばーこーと
大幅,おおはば
大水,おおみず
大昔,おおむかし
大家,おおや
大雪,おおゆき
大凡,おおよそ
大喜び,おおよろこび
オーロラ,おーろら
大笑い,おおわらい
丘,おか
お母様,おかあさま
お返し,おかえし
おかげ,おかげ
おかげさま,おかげさま
御飾り,おかざり
御菓子屋,おかしや
おかず,おかず
岡田,おかだ
お河童,おかっぱ
御上,おかみ
おかめ,おかめ
岡山,おかやま
御粥,おかゆ
小川,おがわ
御代り,おかわり
沖,おき
御后,おきさき
沖縄,おきなわ
置き場,おきば
置物,おきもの
お経,おきょう
奥,おく
奥様,おくさま
奥さん,おくさん
屋上,おくじょう
奥歯,おくば
臆病,おくびょう
送り,おくり
贈り物,おくりもの
おくれ,おくれ
桶,おけ
おこさまランチ,おこさまらんち
お炬燵,おこた
起こり,おこり
おさえ,おさえ
お下がり,おさがり
お下げ,おさげ
お浚い,おさらい
おし,おし
お爺,おじい
お爺さん,おじいさん
押し入れ,おしいれ
教え,おしえ
お辞儀,おじぎ
御地蔵様,おじぞうさま
押し葉,おしば
押花,おしばな
雄蘂,おしべ
御仕舞い,おしまい
お喋り,おしゃべり
お嬢さん,おじょうさん
お汁粉,おしるこ
お相撲さん,おすもうさん
お赤飯,おせきはん
お世辞,おせじ
お節料理,おせちりょうり
お線香,おせんこう
お雑煮,おぞうに
お供え,おそなえ
おそれ,おそれ
お揃い,おそろい
お宅,おたく
お尋ね,おたずね
お駄賃,おだちん
お玉,おたま
お玉杓子,おたまじゃくし
お便り,おたより
お団子さん,おだんごさん
落ち着き,おちつき
落ち葉,おちば
お茶漬け,おちゃづけ
お月見,おつきみ
夫,おっと
おつむ,おつむ
御汁,おつゆ
お釣り,おつり
お手洗い,おてあらい
お出掛け,おでかけ
おでき,おでき
おでこ,おでこ
お手玉,おてだま
お手伝い,おてつだい
お手伝いさん,おてつだいさん
音,おと
お父,おとう
お堂,おどう
お父様,おとうさま
弟,おとうと
弟さん,おとうとさん
おどかし,おどかし
お伽噺,おとぎばなし
男,おとこ
男の子,おとこのこ
男の人,おとこのひと
落とし穴,おとしあな
お年玉,おとしだま
落とし物,おとしもの
お屠蘇,おとそ
乙姫,おとひめ
踊り,おどり
踊り場,おどりば
驚き,おどろき
おなか,おなか
おなら,おなら
鬼,おに
鬼が島,おにがしま
お握り,おにぎり
鬼ごっこ,おにごっこ
鬼退治,おにたいじ
鬼共,おにども
尾根,おね
斧,おの
おのおの,おのおの
お婆さん,おばあさん
お婆ちゃん,おばあちゃん
お化け,おばけ
お弾き,おはじき
お花見,おはなみ
お囃子,おはやし
帯,おび
お日様,おひさま
お姫様,おひめさま
尾鰭,おびれ
お袋,おふくろ
お風呂場,おふろば
オペラ,おぺら
御坊さん,おぼうさん
覚え,おぼえ
お盆,おぼん
お参り,おまいり
御前,おまえ
御任せ,おまかせ
おまけ,おまけ
お呪い,おまじない
お守,おまもり
お宮,おみや
お宮参り,おみやまいり
お婿さん,おむこさん
お結び,おむすび
オムライス,おむらいす
お粧し,おめかし
お目目,おめめ
思い,おもい
思い切り,おもいきり
思い違い,おもいちがい
思い付き,おもいつき
思い出,おもいで
思い遣り,おもいやり
重さ,おもさ
おもし,おもし
表,おもて
趣,おもむき
お守り,おもり
思惑,おもわく
親,おや
親子,おやこ
親孝行,おやこうこう
おやじ,おやじ
お休み,おやすみ
お八つ,おやつ
親指,おやゆび
およぎ,およぎ
泳ぎ方,およぎかた
凡そ,およそ
お呼ばれ,およばれ
お嫁さん,およめさん
檻,おり
折り紙,おりがみ
折り畳み,おりたたみ
折り詰め,おりづめ
折り目,おりめ
織物,おりもの
オリンピック,おりんぴっく
オレンジ,おれんじ
おろか,おろか
おろし,おろし
卸売り,おろしうり
終わり,おわり
お椀,おわん
恩,おん
音階,おんかい
音楽,おんがく
音楽家,おんがくか
音楽会,おんがくかい
音楽室,おんがくしつ
音楽隊,おんがくたい
温室,おんしつ
音声,おんせい
音節,おんせつ
温泉,おんせん
温帯,おんたい
温暖,おんだん
御中,おんちゅう
温度,おんど
温度計,おんどけい
雄鳥,おんどり
女,おんな
女の子,おんなのこ
女の人,おんなのひと
音波,おんぱ
おんぶ,おんぶ
音譜,おんぷ
音読み,おんよみ
があがあ,があがあ
母様,かあさま
母さん,かあさん
母さん狐,かあさんきつね
母さん狸,かあさんたぬき
母さん鼠,かあさんねずみ
カーディガン,かーでぃがん
カーテン,かーてん
カード,かーど
ガード,がーど
ガードレール,がーどれーる
カーニバル,かーにばる
カーネーション,かーねーしょん
カーブ,かーぶ
ガールフレンド,がーるふれんど
会,かい
害,がい
会員,かいいん
絵画,かいが
外貨,がいか
開会,かいかい
海外,かいがい
外界,がいかい
改革,かいかく
貝殻,かいがら
海岸,かいがん
外観,がいかん
会議,かいぎ
階級,かいきゅう
海峡,かいきょう
海軍,かいぐん
会計,かいけい
解決,かいけつ
会見,かいけん
蚕,かいこ
会合,かいごう
外交,がいこう
外交官,がいこうかん
外国,がいこく
外国語,がいこくご
外国人,がいこくじん
骸骨,がいこつ
開催,かいさい
改札,かいさつ
改札口,かいさつぐち
解散,かいさん
開始,かいし
会社,かいしゃ
会社員,かいしゃいん
解釈,かいしゃく
怪獣,かいじゅう
外出,がいしゅつ
会場,かいじょう
外相,がいしょう
外人,がいじん
海水,かいすい
海水浴,かいすいよく
回数,かいすう
回数券,かいすうけん
快晴,かいせい
解説,かいせつ
改善,かいぜん
海草,かいそう
外層,がいそう
快速,かいそく
開拓,かいたく
階段,かいだん
会長,かいちょう
かいてん,かいてん
回転ドア,かいてんどあ
ガイド,がいど
回答,かいとう
外套,がいとう
飼い主,かいぬし
概念,がいねん
外胚葉,がいはいよう
開発,かいはつ
外部,がいぶ
かいふく,かいふく
怪物,かいぶつ
解放,かいほう
解剖,かいぼう
外務,がいむ
外務省,がいむしょう
買い物,かいもの
海洋,かいよう
外来語,がいらいご
外来思想,がいらいしそう
回覧板,かいらんばん
解離,かいり
海流,かいりゅう
改良,かいりょう
外力,がいりょく
外輪船,がいりんせん
カイロ,かいろ
街路樹,がいろじゅ
会話,かいわ
カウンター,かうんたー
返し,かえし
楓,かえで
帰り,かえり
かえりみち,かえりみち
蛙,かえる
顔,かお
がお,がお
顔色,かおいろ
家屋,かおく
顔立ち,かおだち
顔つき,かおつき
かおり,かおり
画家,がか
価格,かかく
化学,かがく
科学者,かがくしゃ
化学繊維,かがくせんい
化学反応,かがくはんのう
踵,かかと
鏡,かがみ
鏡餅,かがみもち
かがやき,かがやき
かかり,かかり
書き,かき
鍵,かぎ
書き方,かきかた
掻き氷,かきごおり
書き言葉,かきことば
書き順,かきじゅん
書き損ない,かきそこない
書留,かきとめ
書き取り,かきとり
垣根,かきね
可逆,かぎゃく
限り,かぎり
角,かく
家具,かぐ
額,がく
学位,がくい
核外電子,かくがいでんし
学芸会,がくげいかい
覚悟,かくご
格差,かくさ
各自,かくじ
学士,がくし
学者,がくしゃ
各種,かくしゅ
学習,がくしゅう
革新,かくしん
画数,かくすう
学生,がくせい
拡声器,かくせいき
学生服,がくせいふく
学説,がくせつ
かくだい,かくだい
楽隊,がくたい
楽団,がくだん
各地,かくち
拡張,かくちょう
学長,がくちょう
確定,かくてい
角度,かくど
獲得,かくとく
確認,かくにん
学年,がくねん
学費,がくひ
楽譜,がくふ
学部,がくぶ
額縁,がくぶち
確保,かくほ
革命,かくめい
学問,がくもん
確立,かくりつ
学力,がくりょく
学歴,がくれき
隠れん坊,かくれんぼ
掛け,かけ
陰,かげ
崖,がけ
駆け足,かけあし
家計,かけい
かげえ,かげえ
掛け声,かけごえ
掛け算,かけざん
掛け軸,かけじく
駆けっこ,かけっこ
崖っぷち,がけっぷち
影踏み,かげふみ
影法師,かげぼうし
かけら,かけら
加減,かげん
過去,かこ
篭,かご
囲い,かこい
河口,かこう
化合,かごう
化合物,かごうぶつ
鹿児島,かごしま
囲み,かこみ
笠,かさ
火災,かさい
風車,かざぐるま
かさこ,かさこ
かさこじぞう,かさこじぞう
重なり,かさなり
かさね,かさね
風見鶏,かざみどり
風向き,かざむき
飾り,かざり
火山,かざん
過酸化水素,かさんかすいそ
菓子,かし
火事,かじ
貸し出し,かしだし
果実,かじつ
火事場,かじば
貸間,かしま
菓子屋,かしや
歌手,かしゅ
かしょ,かしょ
頭,かしら
柏餅,かしわもち
かす,かす
数,かず
加水分解,かすいぶんかい
ガス焜炉,がすこんろ
カスタネット,かすたねっと
ガスタンク,がすたんく
霞,かすみ
掠り傷,かすりきず
風,かぜ
風当たり,かぜあたり
カセット,かせっと
化繊,かせん
数え年,かぞえどし
家族,かぞく
加速度,かそくど
ガソリン,がそりん
方,かた
課題,かだい
肩書き,かたがき
方方,かたがた
片側,かたがわ
敵,かたき
肩車,かたぐるま
硬さ,かたさ
肩叩き,かたたたき
形,かたち
片っ方,かたっぽう
片手,かたて
刀,かたな
片端,かたはし
片方,かたほう
片道,かたみち
傾き,かたむき
カタログ,かたろぐ
片端,かたわ
花壇,かだん
勝ち,かち
家畜,かちく
がちゃがちゃ,がちゃがちゃ
鵞鳥,がちょう
鰹,かつお
学科,がっか
学会,がっかい
学期,がっき
学級,がっきゅう
括弧,かっこ
かっこう,かっこう
学校,がっこう
各国,かっこく
活字,かつじ
合衆国,がっしゅうこく
合唱,がっしょう
カッター,かったー
勝手,かって
活動,かつどう
河童,かっぱ
カップ,かっぷ
合併,がっぺい
割烹着,かっぽうぎ
活躍,かつやく
活用,かつよう
鬘,かつら
家庭,かてい
家庭科,かていか
家庭科室,かていかしつ
家庭訪問,かていほうもん
角,かど
加藤,かとう
門松,かどまつ
家内,かない
金沢,かなざわ
悲しげ,かなしげ
悲しみ,かなしみ
カナダ,かなだ
金槌,かなづち
かなぼう,かなぼう
金物,かなもの
蟹,かに
蟹丼,かにどん
加入,かにゅう
金,かね
過熱,かねつ
金持ち,かねもち
可能,かのう
可能性,かのうせい
河馬,かば
カバー,かばー
黴,かび
画鋲,がびょう
花瓶,かびん
株,かぶ
歌舞伎,かぶき
株式,かぶしき
かぶと,かぶと
甲虫,かぶとむし
花粉,かふん
壁,かべ
貨幣,かへい
かま,かま
かまくら,かまくら
竃,かまど
蒲鉾,かまぼこ
我慢,がまん
上,かみ
紙屑,かみくず
紙芝居,かみしばい
紙包み,かみづつみ
紙テープ,かみてーぷ
雷,かみなり
髪の毛,かみのけ
紙風船,かみふうせん
紙袋,かみぶくろ
ガム,がむ
亀,かめ
カメラ,かめら
カメラマン,かめらまん
鴨,かも
科目,かもく
かもしか,かもしか
貨物,かもつ
貨物列車,かもつれっしゃ
鴎,かもめ
粥,かゆ
通い,かよい
火曜,かよう
歌謡曲,かようきょく
画用紙,がようし
火曜日,かようび
空,から
柄,がら
カラー,からー
傘,からかさ
からす,からす
ガラス板,がらすいた
ガラス管,がらすかん
ガラス窓,がらすまど
空橇,からぞり
体,からだ
体中,からだじゅう
体つき,からだつき
空っ風,からっかぜ
空っぽ,からっぽ
空手,からて
空振り,からぶり
借り,かり
下流,かりゅう
火力,かりょく
軽業,かるわざ
カレー,かれー
ガレージ,がれーじ
カレーライス,かれーらいす
カレンダー,かれんだー
過労,かろう
かわ,かわ
側,がわ
川風,かわかぜ
川上,かわかみ
かわき,かわき
川口,かわぐち
川崎,かわさき
躱,かわす
川っぷち,かわっぷち
川向こう,かわむこう
かわり,かわり
代わり番こ,かわりばんこ
がん,がん
潅漑,かんがい
考え,かんがえ
考え方,かんがえかた
考え違い,かんがえちがい
間隔,かんかく
感覚的,かんかくてき
カンガルー,かんがるー
かんかん照り,かんかんでり
換気,かんき
換気扇,かんきせん
観客,かんきゃく
環境,かんきょう
缶切り,かんきり
関係,かんけい
歓迎,かんげい
感激,かんげき
還元,かんげん
漢語,かんご
観光,かんこう
韓国,かんこく
看護婦,かんごふ
看護婦さん,かんごふさん
関西,かんさい
観察,かんさつ
換算,かんさん
監視,かんし
感じ,かんじ
元日,がんじつ
感謝,かんしゃ
患者,かんじゃ
観衆,かんしゅう
願書,がんしょ
干渉,かんしょう
勘定,かんじょう
頑丈,がんじょう
感心,かんしん
肝心,かんじん
